Date,Open,High,Low,Close,Change,Change%,Volume('000 shares)
2019/5/13,300,300,285.5,286.5,-12,-4.19,8021.402
2019/5/14,279,289,276.5,289,2.5,0.87,8354.651
2019/5/15,290,293.5,287.5,290,1,0.34,5782.386
2019/5/16,290,292,286,288,-2,-0.69,4927.89
2019/5/17,291.5,296.5,289,291,3,1.03,8935.427
2019/5/20,291.5,293,286.5,290,-1,-0.34,5080.134
2019/5/21,287,292.5,286.5,290.5,0.5,0.17,5504.726
2019/5/22,290,290.5,286.5,287.5,-3,-1.04,3821.414
2019/5/23,291,295,289,292,4.5,1.54,9875.909
2019/5/24,294.5,294.5,286,287,-5,-1.74,5171.759
2019/5/27,287,288.5,276.5,281,-6,-2.14,7623.986
2019/5/28,283,283.5,279.5,280.5,-0.5,-0.18,7631.484
2019/5/29,277.5,280.5,275,280.5,0,0,5039.512
2019/5/30,284.5,298.5,284.5,296.5,16,5.4,10940.177
2019/5/31,298.5,313,297,311,14.5,4.66,16347.408
2019/6/3,308.5,316.5,304,314,3,0.96,13144.705
2019/6/4,316,318,311,311,-3,-0.96,8772.745
2019/6/5,317,319.5,312.5,313,2,0.64,9334.896
2019/6/6,312,312,305.5,307,-6,-1.95,6168.786
2019/6/10,313,316.5,310,316,9,2.85,8082.018
2019/6/11,310,314,308,308,-8,-2.6,8924.969
2019/6/12,308.5,312.5,306.5,309.5,1.5,0.48,4508.59
2019/6/13,309.5,316.5,308.5,309.5,0,0,6906.886
2019/6/14,311,312.5,306,307,-2.5,-0.81,4800.518
2019/6/17,305,307,300,300.5,-6.5,-2.16,7844.1
2019/6/18,304,309,304,308.5,8,2.59,6585.57
2019/6/19,314.5,315,307.5,308.5,0,0,8662.8
2019/6/20,311,313,308,310,1.5,0.48,4674.213
2019/6/21,312,316,310,313.5,3.5,1.12,9233.348
2019/6/24,311.5,315.5,310,315.5,2,0.63,4462.509
2019/6/25,313.5,315,309,311.5,-4,-1.28,3262.743
2019/6/26,312.5,313,309.5,310.5,-1,-0.32,3335.968
2019/6/27,314,315.5,312.5,313,2.5,0.8,5593.416
2019/6/28,314,315.5,311,314,1,0.32,4718.184
2019/7/1,315,317,312.5,314,0,0,8268.252
2019/7/2,314,319,313.5,319,5,1.57,7822.935
2019/7/3,322,326.5,316,317.5,-1.5,-0.47,8818.515
2019/7/4,320,320.5,317.5,319,1.5,0.47,4090.644
2019/7/5,319.5,322,318.5,321,2,0.62,6690.938
2019/7/8,312,315.5,312,314,-7,-2.23,5706.74
2019/7/9,314.5,316,313,313.5,-0.5,-0.16,3738.897
2019/7/10,317,319,315.5,318,4.5,1.42,4383.939
2019/7/11,320,324,319,322.5,4.5,1.4,6720.95
2019/7/12,321.5,322,318,318,-4.5,-1.42,3255.923
2019/7/15,318.5,319,313.5,314.5,-3.5,-1.11,5194.708
2019/7/16,315.5,317.5,313,314,-0.5,-0.16,5075.568
2019/7/17,313,314,308.5,310,-4,-1.29,7544.47
2019/7/18,311,311,301,302,-8,-2.65,9627.433
2019/7/19,307.5,308,302.5,304.5,2.5,0.82,7333.715
2019/7/22,306,309.5,305.5,308.5,4,1.3,7703.764
2019/7/23,310,315,310,314.5,6,1.91,7586.407
2019/7/24,315,315.5,307.5,308,-6.5,-2.11,8578.357
2019/7/25,310,313,308,313,5,1.6,5665.905
2019/7/26,309.5,315,308,313.5,0.5,0.16,4494.969
2019/7/29,311,319.5,310,319,5.5,1.72,9083.924
2019/7/30,322,328,320.5,325.5,6.5,2,17119.494
2019/7/31,322,322,309,314.5,-11,-3.5,17759.819
2019/8/1,318,327.5,314,314,-0.5,-0.16,24478.906
2019/8/2,310.5,316.5,309.5,316,2,0.63,13587.337
2019/8/5,313,315.5,309,312,-4,-1.28,9440.893
2019/8/6,305,313,304,309,-3,-0.97,10859.433
2019/8/7,313,319.5,312.5,318,9,2.83,13326.307
2019/8/8,316.5,320.5,314.5,316.5,-1.5,-0.47,7158.959
2019/8/12,318.5,323,318,323,6.5,2.01,8148.041
2019/8/13,321.5,322,317,318,-5,-1.57,3973.869
2019/8/14,322,323,318.5,319.5,1.5,0.47,4361.08
2019/8/15,314.5,317,313.5,316.5,-3,-0.95,5639.867
2019/8/16,317,324.5,317,322,5.5,1.71,8208.353
2019/8/19,328,353,326.5,353,31,8.78,30578.217
2019/8/20,351.5,354,347,351,-2,-0.57,13464.762
2019/8/21,351,356.5,347,347,-4,-1.15,11451.561
2019/8/22,349,352,342.5,345,-2,-0.58,9351.639
2019/8/23,347.5,352,342.5,342.5,-2.5,-0.73,8018.42
2019/8/26,337.5,344.5,336,343,0.5,0.15,5594.378
2019/8/27,347,348,343,345.5,2.5,0.72,10359.958
2019/8/28,355.5,367.5,355,366,20.5,5.6,21836.331
2019/8/29,364.5,366,361.5,365.5,-0.5,-0.14,8989.969
2019/8/30,370.5,373.5,365,367.5,2,0.54,10557.568
2019/9/2,367.5,371.5,364,370.5,3,0.81,5333.803
2019/9/3,370.5,370.5,363,364,-6.5,-1.79,5274.94
2019/9/4,365,369,362,365,1,0.27,6380.489
2019/9/5,368.5,369.5,364.5,367.5,2.5,0.68,4485.683
2019/9/6,371,378,368,374.5,7,1.87,14046.238
2019/9/9,381.5,389.5,378,382.5,8,2.09,19604.086
2019/9/10,380,382,375.5,378,-4.5,-1.19,9046.222
2019/9/11,376,379.5,372.5,374.5,-3.5,-0.93,7656.588
2019/9/12,381,383,373,375,0.5,0.13,9899.513
2019/9/16,375.5,384.5,375.5,382,7,1.83,10976.486
2019/9/17,385,388,382.5,383,1,0.26,9510.754
2019/9/18,383,384,379,382,-1,-0.26,7371.028
2019/9/19,387,388,380.5,380.5,-1.5,-0.39,8439.232
2019/9/20,381.5,388,381.5,386.5,6,1.55,9398.253
2019/9/23,385.5,391,384.5,388,1.5,0.39,4616.257
2019/9/24,388,389,384.5,387,-1,-0.26,4040.265
2019/9/25,382.5,385,379,380,-7,-1.84,8943.671
2019/9/26,382,384,374,376,-4,-1.06,8219.25
2019/9/27,376,378,368.5,369,-7,-1.9,9126.978
2019/10/1,369.5,376.5,369,376.5,7.5,1.99,7417.613
2019/10/2,374,375.5,372,372,-4.5,-1.21,3950.924
2019/10/3,372,381,367.5,379.5,7.5,1.98,8891.382
2019/10/4,382.5,387,382,385.5,6,1.56,7691.915
2019/10/7,386.5,388,381.5,384,-1.5,-0.39,5092.932
2019/10/8,384,385.5,383,384.5,0.5,0.13,5088.917
2019/10/9,382,382.5,372,372,-12.5,-3.36,8426.727
2019/10/14,371,375,368,370.5,-1.5,-0.4,14688.516
2019/10/15,370,371.5,366,367,-3.5,-0.95,9994.456
2019/10/16,370,372,359,360,-7,-1.94,12208.364
2019/10/17,364,372,362,371,11,2.96,8885.926
2019/10/18,373.5,374,369,370,-1,-0.27,5956.854
2019/10/21,373,374.5,368.5,369,-1,-0.27,4625.574
2019/10/22,369.5,372,367.5,371.5,2.5,0.67,4971.04
2019/10/23,370.5,372,368,372,0.5,0.13,4064.705
2019/10/24,376.5,381.5,376,381.5,9.5,2.49,12750.908
2019/10/25,385,386,379,379,-2.5,-0.66,8223.64
2019/10/28,382.5,387,381,387,8,2.07,7243.786
2019/10/29,393,395.5,385.5,393,6,1.53,13697.38
2019/10/30,393,399,389.5,396.5,3.5,0.88,11199.167
2019/10/31,396.5,412,395.5,408,11.5,2.82,24248.661
2019/11/1,410,413.5,403.5,405,-3,-0.74,10327.206
2019/11/4,405,412,404.5,412,7,1.7,8229.135
2019/11/5,411.5,426,411.5,425,13,3.06,11961.184
2019/11/6,425.5,434,423,434,9,2.07,14687.309
2019/11/7,428,431,421,425,-9,-2.12,12569.714
2019/11/8,425,428,411,414,-11,-2.66,13226.485
2019/11/11,412,412,403,403.5,-10.5,-2.6,8447.587
2019/11/12,405,412.5,405,410,6.5,1.59,5316.072
2019/11/13,404,414.5,404,408,-2,-0.49,5132.554
2019/11/14,409.5,413,405,410.5,2.5,0.61,4915.989
2019/11/15,414,426,413.5,422,11.5,2.73,9908.952
2019/11/18,418.5,421,416.5,419.5,-2.5,-0.6,3777.538
2019/11/19,420,423,417,421,1.5,0.36,3798.032
2019/11/20,421,421,413,414.5,-6.5,-1.57,6027.873
2019/11/21,410,412.5,398,407,-7.5,-1.84,11781.615
2019/11/22,404,412,404,411,4,0.97,7319.917
2019/11/25,420,422.5,416,418.5,7.5,1.79,9091.715
2019/11/26,425,427.5,418.5,420,1.5,0.36,11090.564
2019/11/27,424,426,420,422.5,2.5,0.59,6115.772
2019/11/28,425,432.5,423,431.5,9,2.09,9884.036
2019/11/29,434,437,420,421.5,-10,-2.37,11677.43
2019/12/2,418.5,425,412,416.5,-5,-1.2,6767.586
2019/12/3,416.5,425,416.5,418,1.5,0.36,7340.205
2019/12/4,418,424.5,416.5,424.5,6.5,1.53,6155.565
2019/12/5,425,426,420,420,-4.5,-1.07,6035.907
2019/12/6,420.5,422,415,415,-5,-1.2,5400.845
2019/12/9,419,427.5,418,426.5,11.5,2.7,10360.273
2019/12/10,427,427,423.5,425,-1.5,-0.35,3307.268
2019/12/11,423,429,423,429,4,0.93,6041.435
2019/12/12,430.5,432.5,426.5,427.5,-1.5,-0.35,10296.487
2019/12/13,430.5,434,428,432.5,5,1.16,8981.136
2019/12/16,435.5,443.5,433,442,9.5,2.15,11206.36
2019/12/17,444,464,443,460.5,18.5,4.02,16791.241
2019/12/18,460,460,453,456.5,-4,-0.88,11852.129
2019/12/19,455.5,456,451.5,454.5,-2,-0.44,9032.898
2019/12/20,454.5,454.5,442,446,-8.5,-1.91,14495.688
2019/12/23,445.5,450,442,449,3,0.67,5692.155
2019/12/24,448,448,444.5,445,-4,-0.9,3108.958
2019/12/25,444,453,444,452,7,1.55,2911.788
2019/12/26,459.5,460.5,449,449,-3,-0.67,5855.027
2019/12/27,451.5,452.5,446,446.5,-2.5,-0.56,4173.84
2019/12/30,446.5,447.5,445,446.5,0,0,2909.387
2019/12/31,443.5,446.5,441,443.5,-3,-0.68,5710.571
2020/1/2,445,446,440.5,441.5,-2,-0.45,6237.434
2020/1/3,445,445.5,423,434.5,-7,-1.61,12375.266
2020/1/6,428,431.5,424,424,-10.5,-2.48,8520.516
2020/1/7,428,431,418,426,2,0.47,11707.155
2020/1/8,426,436.5,424,430.5,4.5,1.05,9695.448
2020/1/9,435,439,432.5,437,6.5,1.49,7061.194
2020/1/10,439.5,441,426,432,-5,-1.16,7882.248
2020/1/13,432,435,422,422,-10,-2.37,10239.998
2020/1/14,422.5,424.5,412.5,416,-6,-1.44,19437.055
2020/1/15,409,419,406.5,416,0,0,26086.092
2020/1/16,419,423.5,415,421,5,1.19,13075.722
2020/1/17,428,428,418.5,420.5,-0.5,-0.12,8818.316
2020/1/20,421,422,417,419,-1.5,-0.36,6172.773
2020/1/30,400,400.5,382.5,383.5,-35.5,-9.26,22330.256
2020/1/31,385,393,382,388,4.5,1.16,10439.123
2020/2/3,376.5,387,373,382,-6,-1.57,10641.83
2020/2/4,384,396.5,384,390.5,8.5,2.18,9511.276
2020/2/5,390.5,390.5,378.5,381,-9.5,-2.49,16355.382
2020/2/6,381,390.5,380,382,1,0.26,10507.866
2020/2/7,380.5,385.5,379,381,-1,-0.26,10226.51
